"Yönetici Adı","Yönetici E-posta","GMY","Lokasyon","Çalışan Adı","Çalışan Sicil No","Çalışan Kullanıcı Kodu","Notlar","Eğitim 1 Kodu","Eğitim 1 Adı","Eğitim 1 Kategori"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 1","100001","user1","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 2","100002","user2","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 3","100003","user3","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 4","100004","user4","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 5","100005","user5","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 6","100006","user6","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 7","100007","user7","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 8","100008","user8","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 9","100009","user9","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 10","100010","user10","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 11","100011","user11","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 12","100012","user12","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 13","100013","user13","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 14","100014","user14","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 15","100015","user15","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 16","100016","user16","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
"Test Yonetici","test@example.com","Operasyon","Gebze","Calisan 17","100017","user17","Smoke test","OPR-101","Problem Çözme Teknikleri","Operasyonel Mükemmellik"
